label,ticker,price,rs63_rs189,exact_holdings,internals,exact_flow,flow_provider,full_stack_data,state_v2
ブロックチェーン,BLOK,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
金融・鉱業,XME,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
スマートグリッド,GRID,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
証券・取引所,IAI,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
ウラン,URA,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
原子力,NLR,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
データセンター,DTCR,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
風力,FAN,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
クリーンEN,ICLN,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
防衛テック,SHLD,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
リチウム電池,LIT,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
林業,WOOD,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
バイオテック,XBI,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
ゲノム,GNOM,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
水関連,PHO,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
銀行,KBE,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
ソーラー,TAN,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
地銀,KRE,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
医療機器,IHI,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
保険,KIE,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
銅鉱,COPX,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
運輸,IYT,READY,READY,READY,READY_TO_BUILD,READY,ISHARES,READY_TO_BUILD,VALIDATION_REQUIRED
航空宇宙・防衛,ITA,DATA_REQUIRED,DATA_REQUIRED,READY,READY_TO_BUILD,READY,ISHARES,DATA_REQUIRED,DATA_REQUIRED
インフラ,PAVE,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
銀鉱,SIL,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
EC,IBUY,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
レアアース,REMX,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
製薬,PPH,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
建設,PKB,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
海運,BOAT,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
小売,XRT,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
住宅建設,XHB,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
宇宙・防衛,XAR,READY,READY,READY,READY_TO_BUILD,READY,SSGA,READY_TO_BUILD,VALIDATION_REQUIRED
BTCマイニング,WGMI,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
航空,JETS,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
金鉱,GDX,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
レジャー,PEJ,READY,READY,ADAPTER_REQUIRED,WAITING_FOR_EXACT_HOLDINGS,ADAPTER_REQUIRED,,DATA_REQUIRED,DATA_REQUIRED
