ticker,published_at,headline,summary,event_type,source,fetched_at
AAL,2026-07-17T17:21:52Z,San Antonio to Borrow $944 Million for Major Airport Expansion,"(Bloomberg) -- San Antonio, one of the fastest-growing US metro areas, is tapping the bond market for almost $1 billion as part of an ambitious program to expand and improve its airport. Most Read from BloombergFCC Near Rulings Against Disney Over ‘The View,’ TV LicensesChip Stocks Poised for Bear Market in AI Unwind: Markets WrapGoogle Gemini Launch Delayed as Tech Falls Short of Internal GoalsChina’s Moonshot Unveils AI Model That Narrows Gap With US FirmsThailand Scraps Plan to End Visa-Free",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-16T14:00:04Z,American Airlines (AAL) Expected to Beat Earnings Estimates: Should You Buy?,American Airlines (AAL) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-16T13:55:02Z,How Much Upside is Left in American Airlines (AAL)? Wall Street Analysts Think 25.66%,"The consensus price target hints at a 25.7% upside potential for American Airlines (AAL). While empirical research shows that this sought-after metric is hardly effective, an upward trend in earnings estimate revisions could mean that the stock will witness an upside in the near term.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-15T23:32:28Z,Former FedEx CFO John Dietrich joins American Airlines board,American Airlines’ board of directors has elected former FedEx and Atlas Air executive as its newest member. The post Former FedEx CFO John Dietrich joins American Airlines board appeared first on FreightWaves.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAL,2026-07-15T21:24:21Z,"Stock Market Today, July 15: American Airlines Is About to Announce Earnings: Here's What Investors Are Watching","On July 15, 2026, airlines are in focus as results will show the impacts of high fuel prices.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-07-21T15:27:00Z,"Synchrony Beats Q2 Earnings Estimates, Raises 2026 EPS Outlook","Synchrony Financial tops Q2 EPS estimates by 24.5% as record purchase volume, stronger loan growth and a higher 2026 EPS outlook offset rising expenses.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-07-21T14:53:00Z,Aon Raises Data Center Insurance Capacity to $5 Billion,"AON boosts data center insurance capacity to $5B, expanding lifecycle coverage as AI and hyperscale investments drive demand for complex risk solutions.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-07-16T13:40:04Z,Is Northern Trust (NTRS) Stock Outpacing Its Finance Peers This Year?,Here is how Northern Trust Corporation (NTRS) and Acadian Asset Management (AAMI) have performed compared to their sector so far this year.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-07-01T16:37:00Z,Houlihan Lokey Bets on Energy Advisory Growth With Intrepid Buyout,"HLI expands its energy investment banking franchise with the Intrepid acquisition, strengthening advisory capabilities in a resilient dealmaking market.",M&A,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-06-30T16:00:04Z,All You Need to Know About Acadian Asset Management (AAMI) Rating Upgrade to Buy,"Acadian Asset Management (AAMI) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #2 (Buy).",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-06-30T13:40:07Z,Is Acadian Asset Management Inc. (AAMI) Outperforming Other Finance Stocks This Year?,Here is how Acadian Asset Management (AAMI) and Chubb (CB) have performed compared to their sector so far this year.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-06-29T17:45:00Z,Hut 8 (HUT) Soars 4.5%: Is Further Upside Left in the Stock?,Hut 8 (HUT) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-06-22T09:44:00Z,New Strong Sell Stocks for June 22nd,"WMS, AAMI and RGLD have been added to the Zacks Rank #5 (Strong Sell) List on June 22nd, 2026.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-06-18T13:37:00Z,Is the Options Market Predicting a Spike in Acadian Asset Management Stock?,Investors need to pay close attention to AAMI stock based on the movements in the options market lately.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAMI,2026-06-14T10:10:00Z,SpaceX Is Coming Early to Your Index. How Worried Should You Be?,"Owen Lamont of Acadian Asset Management says the fast-tracking of mega IPOs shouldn’t keep passive investors up at night, but it isn’t great either.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-21T22:22:14Z,Applied Optoelectronics (AAOI) Soars 15.8% Ahead of Earnings; Hedge Fund Holdings More Than Triple,"Applied Optoelectronics rallied for a third consecutive day on Tuesday, jumping 15.76 percent to finish at $119.26 apiece, as investors began positioning their portfolios ahead of the results of its earnings performance in the second quarter of the year. 92% Revenue Growth Target for Q2 Applied Optoelectronics Inc. (NASDAQ:AAOI) is highly optimistic about its outlook […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-21T17:20:00Z,AAOI's Optical Networking Demand Rise: A Sign for More Upside?,"Applied Optoelectronics sees surging demand for AI-driven optical networking products as it expands U.S. manufacturing, but intensifying competition could test its momentum.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-17T13:24:00Z,Can Lumentum's AI Laser Chip Demand Accelerate Revenue Growth?,"LITE's record laser-chip shipments, expanding InP capacity and CPO push position it to capture surging AI optical-networking demand.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-16T14:46:00Z,AAOI vs. MXL: Which AI Data Center Infrastructure Stock Has an Edge?,"Applied Optoelectronics is seeing strong AI data center demand, but MaxLinear's broader product momentum, hyperscaler adoption, and earnings consistency give it an edge.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-16T00:26:25Z,Can You Stomach The Plunge In Applied Optoelectronics Stock?,"Its history of deep, prolonged drops in market shocks is the real risk to weigh against today's AI-fueled growth story.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-15T18:18:31Z,"Applied Optoelectronics Falls 12%, Coherent and Lumentum Slide as AI Optics Trade Cools","The AI optics trade just handed back a chunk of its parabolic gains in a single afternoon, and the question now is whether the stocks leading this year's most crowded hardware rally are taking a breather or signaling something worse.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-15T14:39:48Z,Tradr's 2X Short Leveraged ETFs on AAOI and ORCL Begin Trading,"Tradr ETFs, a provider of ETFs designed for sophisticated investors and professional traders, today launched two new leveraged ETFs on the stocks of Applied Optoelectronics and Oracle Corporation.  The Cboe-listed funds seek to deliver two times short (-200%) the daily performance of their underlying target stocks.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-15T08:14:04Z,Applied Optoelectronics (AAOI) Stock Looks Reasonable Despite A Very Large Five Year Run,"Applied Optoelectronics stock has delivered a very large 5 year return, yet its valuation signals are mixed, with the Discounted Cash Flow (DCF) intrinsic value estimate sitting close to the current share price while the broader checks lean expensive. Over 5 years, the stock has returned about 15.9x, which means anyone looking at Applied Optoelectronics today is assessing a business that has already re rated dramatically. The planned expansion of its Texas facility to increase AI data center...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-15T03:26:31Z,Why Applied Optoelectronics (AAOI) Is Up 9.6% After Major Onshore AI Transceiver Expansion News – And What's Next,"Applied Optoelectronics, Inc. recently began construction on nearly 400,000 square feet of new manufacturing space at its Pearland, Texas campus to expand production of 800G and 1.6T optical transceivers used in AI and cloud data centers. This expansion deepens the company’s role in the AI infrastructure supply chain by bringing more high-end transceiver manufacturing onshore and closer to key customers. Next, we’ll examine how this large Pearland capacity build-out could reshape Applied...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAOI,2026-07-15T02:10:44Z,Is Applied Optoelectronics (AAOI) Fully Valued On Its Pearland Expansion Plan?,"What the Pearland expansion means for Applied Optoelectronics investors Applied Optoelectronics (AAOI) has broken ground on a nearly 400,000 square foot expansion in Pearland, Texas, aiming to lift output of its 800G and 1.6T optical transceivers for AI and cloud data centers. For investors, this kind of manufacturing buildout is important because it ties directly to the company’s ability to supply future demand for high speed optics that sit at the core of AI infrastructure and large scale...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-17T11:29:46Z,2 High-Flying Stocks Worth Your Attention and 1 We Brush Off,Expensive stocks typically earn their valuations through superior growth rates that other companies simply can’t match. The flip side though is that these lofty expectations make them particularly susceptible to drawdowns when market sentiment shifts.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-15T01:13:44Z,AAON (AAON) Stock May Be 49% Below Fair Value On Cash Flow,"AAON stock has delivered a 182.5% total return over five years, yet the current checks present a mixed picture, with the Discounted Cash Flow (DCF) intrinsic value pointing to a sizeable gap to the market price while earnings based multiples look closer to fair. Over the past five years, AAON has returned 182.5%, which puts extra focus on whether recent gains already reflect its fundamentals. Expectations around AAON's ability to sustain cash flow growth can support the valuation, but any...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-15T00:23:00Z,Is AAON (AAON) Undervalued On Its Cooling Growth Narrative?,"AAON stock performance snapshot AAON (AAON) has attracted investor attention after recent share price moves, with the stock up 0.7% over the past day and 2.7% over the past week, but down 11.2% over the past month. See our latest analysis for AAON. Recent trading has softened after a strong run, with AAON’s 30 day share price return down 11.2% even as the 90 day share price return is 21.95% and the 1 year total shareholder return is 52.74%. This suggests momentum has cooled, but longer term...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-13T12:00:00Z,3 Non-Tech Stocks Still Winning Big on AI,"Powell Industries, AAON, and EMCOR Group are benefiting from surging data center demand for power, HVAC, and construction services, offering AI-linked growth outside the tech sector.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-06T11:16:01Z,3 of Wall Street’s Favorite Stocks We’re Skeptical Of,"Wall Street has set ambitious price targets for the stocks in this article. While this suggests attractive upside potential, it’s important to remain skeptical because analysts face institutional pressures that can sometimes lead to overly optimistic forecasts.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-03T13:40:04Z,Is AAON (AAON) Stock Outpacing Its Construction Peers This Year?,Here is how Aaon (AAON) and Cardinal (CDNL) have performed compared to their sector so far this year.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-03T09:54:06Z,3 Cash-Burning Stocks We Approach with Caution,"While some companies burn cash to fuel expansion, others struggle to turn spending into sustainable growth. A high cash burn rate without a strong balance sheet can leave investors exposed to significant downside.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-07-02T21:04:37Z,Get Paid 11% A Year To Hold TT Stock You Already Own,"For owners of this high-flying industrial stock, here is a way to get paid a meaningful income now, which you keep no matter what, in exchange for capping your gains at an even higher price.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-06-29T18:10:15Z,3 Reasons to Sell AAON and 1 Stock to Buy Instead,"The past six months have been a windfall for AAON’s shareholders. The company’s stock price has jumped 67.4%, hitting $126.70 per share. This was partly due to its solid quarterly results, and the performance may have investors wondering how to approach the situation.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAON,2026-06-29T18:03:05Z,"Is AAON, Inc. (AAON) A Good Stock To Buy Now?","Is AAON a good stock to buy? We came across a bullish thesis on AAON, Inc. on r/GrowthStockInvesting by Electronic_Pea_9897. In this article, we will summarize the bulls’ thesis on AAON. AAON, Inc.’s share was trading at $129.45 as of June 23rd. AAON’s trailing and forward P/E were 91.16 and 62.11 respectively according to Yahoo Finance. AAON, […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-07-21T13:40:04Z,Is The Cheesecake Factory (CAKE) Stock Outpacing Its Retail-Wholesale Peers This Year?,Here is how Cheesecake Factory (CAKE) and Advance Auto Parts (AAP) have performed compared to their sector so far this year.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-07-16T17:30:02Z,AAP’s Unusually Active $62.50 Call Isn’t a Covered Call. It’s a Bullish Bet on a Beaten-Down Stock.,"Advance Auto Parts’ Aug. 21 $62.50 call was the fourth-highest Vol/OI ratio yesterday. One of the trades was for 8,800 calls. It looked like a covered call — until a second leg revealed a bull call spread instead.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-25T08:40:00Z,Zacks Industry Outlook O'Reilly and Advance Auto Parts,O'Reilly and Advance Auto Parts have been highlighted in this Industry Outlook article.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-24T13:35:00Z,2 Auto Retail Parts Stocks That Are Still in Focus in a Tough Market,"High rates, energy costs, and supply gaps weigh on auto parts. Yet rising vehicle age keeps demand alive. ORLY and AAP are still worth tracking.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-11T17:59:49Z,"Is Advance Auto Parts, Inc. (AAP) A Good Stock To Buy Now?","Is AAP a good stock to buy? We came across a bullish thesis on Advance Auto Parts, Inc. on r/investing_discussion by Variant_Invest. In this article, we will summarize the bulls’ thesis on AAP. Advance Auto Parts, Inc.’s share was trading at $60.04 as of June 9th. AAP’s trailing and forward P/E were 53.61 and 22.99 respectively according […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-09T15:08:40Z,Does AAP’s Cost Cuts and Store Closures Reshape the Bull Case for Advance Auto Parts?,"In recent months, Advance Auto Parts reported progress on its turnaround plan, closing around 700 underperforming stores, cutting expenses by 8%, and improving gross profit and operating income while guiding for adjusted EPS growth and positive free cash flow this fiscal year. This operational reset, combining a smaller footprint with tighter cost control, is reshaping expectations about how efficiently the company can run its core auto parts business. We’ll now examine how the early...",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-05T13:40:02Z,Why Advance Auto Parts (AAP) is a Top Value Stock for the Long-Term,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-04T10:25:00Z,Everyone Said It Was Too Late to Buy This Retail Stock. They Were Wrong.,"No one expected much of this retail stock, yet it has returned 44% year to date.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-06-02T12:23:15Z,Advance Auto Parts nears finish line on distribution center consolidation strategy,The auto parts retailer also plans to open up to 15 market hubs this year as it aims to improve same-day hard parts coverage across its store network.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAP,2026-05-29T18:49:00Z,More Drivers Are Joining the High-Miles Club. This Stock Could Pull Ahead.,Sales for AutoZone have expanded from $12.6 billion in the fiscal year ended in August 2020 to an estimated $20.5 billion this fiscal year.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T12:15:14Z,Alphabet earnings offer a moment of truth in this tech stock battle,Will the divergence in semis vs. Mag 7 end?,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T10:14:57Z,Intel results to test if AI-fueled rally has room to run,"Intel's results on Thursday will show whether the American chip icon has the numbers to back a Wall Street rally that has ‌sent its shares nearly three times higher this year, as its turnaround ‌push wins over investors and the AI buildout powers demand.  Investors are also eager for details on potential new customers for its contract manufacturing business, which has shown growing traction with deals including a ‌Tesla tie-up.  • Among the biggest ⁠questions for Intel is a potential deal to manufacture processors for Apple that U.S. President Donald Trump announced in April but neither ⁠company has confirmed.",CONTRACT,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T08:22:00Z,Apple vs. Nvidia: Which Is the Better Megacap Stock to Buy?,Apple and Nvidia are the two largest companies in the world.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T07:23:07Z,Jim Cramer vs. The AI Bears: Why Apple’s Consumer Ecosystem Remains Unbreakable,"Jim Cramer made his stance clear during Monday’s Mad Money episode, confirming that his Charitable Trust is holding firm on Apple Inc. (NASDAQ:AAPL) despite relentless criticism from tech commentators. Rebuffing market anxiety over delayed AI features, Cramer argued: There is some real opportunity here, and I’m not blind to it. That said, let me tell […]",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T06:00:00Z,"Alphabet Kicks Off Mag 7 Earnings, and It’s Going to Be an AI Spending Palooza","Alphabet will report second quarter earnings after the stock market closes Wednesday. Analysts expect capex for the quarter to be $45.1 billion, a 101% increase from a year earlier.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T02:00:00Z,Zhongji Innolight Seeks Up to $7 Billion in Hong Kong’s Biggest Listing This Year,The Shenzhen-listed company plans to plans to spend the majority of the offering’s proceeds on investment in research and development and expanding its global production capacity.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-22T01:30:54Z,The Challenges of the China Market,The Chinese market has been a headwind for many companies. Here's how investors can navigate the trend.,NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-21T22:02:41Z,"S&P 500, Dow Snap Three-Day Losses, Nasdaq Ends Best Day In Three Weeks As Earnings Take Centerstage — GOOGL, AAPL, AMD, TSLA, DIS In Focus","The Philadelphia Semiconductor Index jumped over 5%, its best single-day gain in a month, as bargain buyers piled onto semiconductor stocks.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
AAPL,2026-07-21T20:43:10Z,Beyond The Sticker Price: What You Are Really Paying For Microsoft Stock,"The software giant looks expensive on the surface, but a patient investor is effectively buying its future growth at a significant discount.",NEWS,yfinance,2026-07-22T12:20:48.089065Z
